dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Computers,PPV_DIFF,PPV_MIX,MPV_MIX,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,MPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_DIFF
CricketX,PPV,PPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV_MIX,PPV
CricketY,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV,PPV_MIX,MPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV
CricketZ,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,MPV,PPV,MPV_MIX,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV
Crop,MPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
DiatomSizeReduction,PPV_MIX,GMP,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,MIPV,MIPV_DIFF,GMP,GMP,PPV_MIX,PPV_MIX,PPV,GMP,PPV_MIX,PPV_MIX,GMP,PPV,PPV_MIX,MIPV_DIFF,GMP,MIPV,MIPV,GMP,PPV_MIX,PPV,PPV_MIX,PPV_MIX,MIPV
DistalPhalanxOutlineAgeGroup,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
DistalPhalanxOutlineCorrect,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
DistalPhalanxTW,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MIPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
ECG200,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
