dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
CricketX,ZC,ZC,PPV,PPV,PPV_MIX,ZC_MIX,PPV_MIX,PPV,PPV_MIX,ZC_MIX,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,ZC,PPV,PPV,PPV,PPV_MIX,PPV,PPV_MIX
CricketY,PPV_MIX,PPV,PPV_MIX,ZC_MIX,ZC,PPV_MIX,PPV_MIX,PPV,PPV,PPV_MIX,PPV_MIX,ZC_MIX,PPV,ZC,ZC,PPV,PPV_MIX,PPV_MIX,ZC,PPV,PPV_MIX,PPV,ZC,PPV,ZC,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX
CricketZ,PPV,PPV_MIX,PPV,PPV_MIX,ZC_MIX,PPV,ZC,PPV,ZC,PPV_MIX,ZC_MIX,PPV,PPV,ZC,PPV_MIX,PPV,PPV_MIX,PPV_MIX,ZC,ZC_MIX,PPV,ZC_MIX,ZC_MIX,ZC,PPV,PPV,PPV,PPV,PPV_MIX,PPV
Crop,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
DiatomSizeReduction,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,MIPV,MIPV_DIFF,PPV,ZC,PPV_MIX,PPV_MIX,MIPV,PPV,ZC,MIPV,PPV,PPV,PPV,MIPV,PPV,PPV_MIX
DistalPhalanxOutlineAgeGroup,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
DistalPhalanxOutlineCorrect,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MIPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
DistalPhalanxTW,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
Earthquakes,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
ECG200,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,ZC,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,MPV,PPV_MIX
