dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,PPV_MIX,PPV_MIX,LSPV_MIX,LSPV,PPV_MIX,PPV,LSPV_MIX,LSPV,PPV_MIX,PPV_MIX,PPV,LSPV_MIX,LSPV,PPV_MIX,MPV_MIX,LSPV,LSPV_MIX,LSPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV,LSPV,PPV_MIX,PPV_MIX,LSPV_MIX,LSPV_MIX,PPV_MIX
Adiac,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,LSPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_DIFF
ArrowHead,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX
Beef,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,MIPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV
BeetleFly,PPV_DIFF,PPV,PPV,PPV_MIX,MIPV,PPV,PPV,PPV_MIX,MIPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,GMP_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV,GMP_DIFF
BirdChicken,PPV_MIX,PPV_MIX,PPV_MIX,GMP_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,LSPV,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX
BME,PPV_MIX,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,MPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV
Car,PPV_MIX,MPV,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX
CBF,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV
Chinatown,PPV,PPV_MIX,MIPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,MIPV,PPV,PPV_MIX,MIPV,MIPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,MIPV_MIX,PPV,MIPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,MIPV_DIFF,PPV
