dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.8878594795862833,0.7739706913630168,0.029937028884887695,0.006109102567036947
ChlorineConcentration,2.0026201089223226,4.471394515037536,0.19095426400502521,0.15178858439127604
Computers,2.8836000124613443,1.932791797320048,0.0831958532333374,0.010138154029846191
CricketX,2.345593070983887,3.674306042989095,0.13943423430124918,0.024804584185282388
CricketY,2.363067539532979,3.693376096089681,0.1368052323659261,0.027384161949157715
CricketZ,2.345147196451823,3.6693920930226644,0.13330252965291342,0.024698821703592937
DistalPhalanxOutlineAgeGroup,1.0363470872243246,3.636761689186096,0.14599891503651938,0.005273842811584472
DistalPhalanxOutlineCorrect,1.5050288438796997,6.14175484975179,0.2453590234120687,0.010023792584737143
DistalPhalanxTW,1.0476132392883302,3.833711536725362,0.147724183400472,0.007923309008280437
Earthquakes,3.3818811655044554,2.7745491743087767,0.11781307856241861,0.005005860328674316
ECG200,0.35417115688323975,0.6972239017486572,0.028556021054585774,0.003557292620340983
EOGHorizontalSignal,6.545251218477885,3.421944244702657,0.14724583625793458,0.03067944049835205
EOGVerticalSignal,6.646411959330241,3.415649716059367,0.14580034414927165,0.029154602686564127
EthanolLevel,11.228096636136373,5.1889279127120975,0.20608224074045817,0.02583176294962565
FaceAll,1.9369882424672444,6.151949294408163,0.2522568941116333,0.07885204950968425
Fish,1.259554878870646,1.3895326534907022,0.06264775594075521,0.01048284371693929
FreezerRegularTrain,0.9781474987665812,1.121527369817098,0.03526769479115804,0.08389201958974203
GunPointAgeSpan,0.49280714193979896,1.0282165288925171,0.03907647132873535,0.013152416547139485
GunPointMaleVersusFemale,0.4927549203236898,0.9435864686965942,0.03455191453297933,0.011722580591837565
GunPointOldVersusYoung,0.49429585933685305,1.002405055363973,0.034693392117818196,0.011645793914794922
Ham,0.835689115524292,0.7160351037979126,0.03028577963511149,0.004161604245503743
Haptics,2.287602965037028,1.2876692533493042,0.049247574806213376,0.016554991404215496
InlineSkate,3.264195768038432,0.790147622426351,0.04576563040415446,0.046447340647379556
InsectWingbeatSound,1.0209632873535157,1.8398112694422404,0.08793725967407226,0.11968429883321126
LargeKitchenAppliances,3.4026926596959433,3.4389469146728517,0.1583433469136556,0.020653017361958823
MedicalImages,1.0401583115259807,3.509806736310323,0.1401544491449992,0.04646468957265218
MiddlePhalanxOutlineAgeGroup,1.0136077801386516,3.6417791763941447,0.13381617069244384,0.005282219250996908
MiddlePhalanxOutlineCorrect,1.493221934636434,6.166239913304647,0.2386804183324178,0.012427989641825359
MixedShapesRegularTrain,6.91460595925649,5.122325603167216,0.22623504002888997,0.11286873817443847
MixedShapesSmallTrain,1.572712779045105,0.7888384660085043,0.03122873306274414,0.11078352928161621
OSULeaf,1.4544050137201945,1.6174291372299194,0.07105158964792888,0.015452114741007487
Plane,0.4285750309626261,0.8119499206542968,0.026415181159973145,0.005020721753438314
PowerCons,0.7062608083089192,1.3718551794687908,0.05765156745910645,0.0076901912689208984
ProximalPhalanxOutlineAgeGroup,1.0124175389607748,3.6156049728393556,0.14298874537150066,0.007998832066853841
ProximalPhalanxOutlineCorrect,1.4779118458429972,6.275225067138672,0.22370671431223552,0.01016394297281901
ProximalPhalanxTW,1.0154360055923461,3.861194125811259,0.13787233034769694,0.011855125427246094
ScreenType,3.868317635854085,3.570589208602905,0.13505628903706868,0.018434611956278484
SemgHandGenderCh2,8.525203688939412,2.3648235400517783,0.08439181645711263,0.02101577123006185
SemgHandMovementCh2,13.074518307050068,4.553566368420919,0.16209981441497803,0.021800533930460612
SemgHandSubjectCh2,12.738974738121033,4.288957150777181,0.16207002798716227,0.021941312154134116
ShapesAll,4.645098185539245,7.136769970258077,0.4016707181930542,0.04759709040323893
SmoothSubspace,0.3026750087738037,1.2674678405125936,0.06542302767435709,0.008433206876118978
SwedishLeaf,1.606053892771403,5.342315618197123,0.3018447955449422,0.04912103811899821
SyntheticControl,0.7659468253453573,2.6152556339899697,0.10428459644317627,0.017298086484273275
Trace,0.6628823836644491,0.7518857876459758,0.02673800786336263,0.004760384559631348
UWaveGestureLibraryX,4.416001844406128,11.170071705182393,0.572659182548523,0.20321914354960124
UWaveGestureLibraryY,4.549550867080688,11.209603150685629,0.6006967465082804,0.21747379302978515
UWaveGestureLibraryZ,4.413265220324198,11.176669470469157,0.5510478655497233,0.1938059171040853
Worms,2.7148789485295612,1.4392789761225382,0.06877320607503255,0.005093129475911459
WormsTwoClass,2.630410099029541,1.4242551406224568,0.06709378560384115,0.0029427289962768556
