dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.8751746654510497,1.6168447415033975,0.029764262835184734,0.006569520632425944
ChlorineConcentration,2.009699296951294,5.769502027829488,0.1892556667327881,0.16319223244984946
Computers,2.860260756810506,3.517320084571838,0.08278779188791911,0.010162615776062011
CricketX,2.3246315320332847,4.989280502001445,0.1311351458231608,0.02644184430440267
CricketY,2.351646407445272,4.982203141848246,0.1336949904759725,0.02664626439412435
CricketZ,2.319858368237813,4.992117238044739,0.13857796986897786,0.02482434908548991
DistalPhalanxOutlineAgeGroup,1.0322078227996827,4.937102063496908,0.12837018171946207,0.004927913347880046
DistalPhalanxOutlineCorrect,1.4951461871465048,6.933383806546529,0.21713453928629559,0.009157268206278484
DistalPhalanxTW,1.036654790242513,5.086166914304098,0.13227639198303223,0.007674074172973633
Earthquakes,3.363306752840678,4.201836140950521,0.10628273487091064,0.004549964269002279
ECG200,0.3501262664794922,1.536012880007426,0.029877265294392902,0.0035733143488566083
EOGHorizontalSignal,6.535239402453104,4.751506892840068,0.1430545409520467,0.029311776161193848
EOGVerticalSignal,6.643456276257833,4.720547620455424,0.13689441680908204,0.028239091237386067
EthanolLevel,11.210350735982258,6.2653709888458256,0.19512686729431153,0.02314453125
FaceAll,1.9330987453460693,7.51380226612091,0.26136024792989093,0.08291563987731934
Fish,1.232638382911682,2.6672372738520305,0.05607093969980876,0.009124167760213216
FreezerRegularTrain,0.9746898571650188,2.2218514680862427,0.04453424612681071,0.09233683745066325
GunPointAgeSpan,0.47307225863138835,1.9865329265594482,0.03490478197733561,0.011476492881774903
GunPointMaleVersusFemale,0.47160335381825763,1.887921142578125,0.03068688710530599,0.011318778991699219
GunPointOldVersusYoung,0.4726398944854736,1.9828203916549683,0.03291777769724528,0.010950469970703125
Ham,0.8183979749679565,1.600759792327881,0.03351906935373942,0.004286877314249675
Haptics,2.2685096820195514,2.312671955426534,0.04714877605438232,0.015770800908406577
InlineSkate,3.253229506810506,1.5877933343251547,0.036279940605163576,0.04052205880482992
InsectWingbeatSound,1.0131123383839926,3.3898883422215778,0.08873100280761718,0.1166308323542277
LargeKitchenAppliances,3.365072727203369,4.80509790579478,0.1434299071629842,0.017917768160502116
MedicalImages,1.0389584064483643,4.9307714382807415,0.13080647786458333,0.04466803868611654
MiddlePhalanxOutlineAgeGroup,1.0064327716827393,4.977367925643921,0.12792696158091227,0.0054942846298217775
MiddlePhalanxOutlineCorrect,1.4753183046976726,6.940084004402161,0.19923762480417886,0.008983794848124187
MixedShapesRegularTrain,6.913086112340292,6.202321060498556,0.2343027909596761,0.11598269144694011
MixedShapesSmallTrain,1.5727635622024536,1.6056874593098958,0.03390171527862549,0.1136930783589681
OSULeaf,1.4393909454345704,3.0422153870264688,0.08507867654164632,0.01872596740722656
Plane,0.40935449600219725,1.685886843999227,0.02762601375579834,0.0051904837290445965
PowerCons,0.6869082768758138,2.628762634595235,0.057038410504659014,0.007473079363505045
ProximalPhalanxOutlineAgeGroup,0.9999492963155111,4.959368975957235,0.12565677165985106,0.007010253270467123
ProximalPhalanxOutlineCorrect,1.4747809966405232,6.949524466196696,0.221687912940979,0.009455355008443196
ProximalPhalanxTW,1.0027472098668417,5.0579509973526005,0.12533801396687824,0.010499811172485352
ScreenType,3.8432448943456015,4.748938528696696,0.12139489650726318,0.015611227353413899
SemgHandGenderCh2,8.511564779281617,3.9066309531529746,0.08913064002990723,0.019153602917989097
SemgHandMovementCh2,13.060354709625244,5.713024091720581,0.15661731561024983,0.02028654416402181
SemgHandSubjectCh2,12.693322896957397,5.664660700162252,0.1507165511449178,0.019476755460103353
ShapesAll,4.636625123023987,8.566049702962239,0.39337568283081054,0.048095019658406575
SmoothSubspace,0.3009388208389282,2.2949859142303466,0.06386289596557618,0.008819993336995442
SwedishLeaf,1.608639653523763,6.634292165438334,0.27580485343933103,0.046785402297973636
SyntheticControl,0.7485286951065063,4.164641110102336,0.09352227052052815,0.015740601221720378
Trace,0.6439566771189372,1.6343869686126709,0.02482887903849284,0.004526535669962565
UWaveGestureLibraryX,4.407602636019389,15.149022428194682,0.5963623444239299,0.21881858507792154
UWaveGestureLibraryY,4.539185810089111,15.042834536234539,0.5746486107508342,0.2075668493906657
UWaveGestureLibraryZ,4.396817016601562,14.83546142578125,0.5759925683339436,0.20983572006225587
Worms,2.6955523331960043,2.7298834403355916,0.06286125977834066,0.0050152063369750975
WormsTwoClass,2.6004896720250446,2.538869619369507,0.06790573596954345,0.0027764081954956056
