dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.8577368021011353,0.8924856980641683,0.03367496331532796,0.007137807210286459
ChlorineConcentration,2.0030004819234213,4.403224285443624,0.17999865214029948,0.15141433874766033
Computers,2.851082277297974,2.0648535966873167,0.08038710753122966,0.010790212949117025
CricketX,2.3233678499857584,3.766984963417053,0.14044928550720215,0.024724570910135905
CricketY,2.3475786209106446,3.8178076267242433,0.14000325202941893,0.025603254636128742
CricketZ,2.3332698265711467,3.806480550765991,0.13541378180185953,0.023995383580525716
DistalPhalanxOutlineAgeGroup,1.0274494489034016,3.606732487678528,0.1316751480102539,0.004899382591247559
DistalPhalanxOutlineCorrect,1.513244883219401,5.305004127820333,0.23480040232340496,0.009516604741414388
DistalPhalanxTW,1.0282755057017008,3.7989295721054077,0.13966501553853353,0.007862170537312826
Earthquakes,3.3544915755589804,2.760181681315104,0.11393934885660807,0.0061376015345255535
ECG200,0.35085821946462,0.8144169966379802,0.030494284629821778,0.004055706659952799
EOGHorizontalSignal,6.52818717956543,3.5106847286224365,0.15009753704071044,0.032170589764912924
EOGVerticalSignal,6.633751853307088,3.414820742607117,0.15246615409851075,0.03142461776733398
EthanolLevel,11.203795226414998,4.88136990070343,0.19797244866689045,0.025437521934509277
FaceAll,1.931709106763204,5.327269124984741,0.2505600372950236,0.08573288122812907
Fish,1.2304711898167928,1.5199256579081217,0.05935717423756917,0.009364493687947591
FreezerRegularTrain,0.9775735060373942,1.2440333127975465,0.03867770830790202,0.08611174424489339
GunPointAgeSpan,0.4762845993041992,1.0316606442133585,0.03548860549926758,0.011017775535583496
GunPointMaleVersusFemale,0.47813669045766194,1.047845983505249,0.035068353017171226,0.012192924817403158
GunPointOldVersusYoung,0.47669258117675783,1.084467840194702,0.033246509234110516,0.010474848747253417
Ham,0.8123104731241862,0.8466841538747152,0.03232267697652181,0.003802816073099772
Haptics,2.2573789834976195,1.307067370414734,0.049829594294230145,0.016919851303100586
InlineSkate,3.251170595486959,0.8860901991526285,0.043673078219095864,0.04580543041229248
InsectWingbeatSound,1.0021426359812418,2.0000203688939413,0.07259947458902995,0.1090092658996582
LargeKitchenAppliances,3.3620468775431314,3.472241441408793,0.151809024810791,0.019965728123982746
MedicalImages,1.032459592819214,3.67028652826945,0.1451231559117635,0.052260335286458334
MiddlePhalanxOutlineAgeGroup,1.0054249127705892,3.808503826459249,0.14681677023569742,0.006502787272135417
MiddlePhalanxOutlineCorrect,1.4821807305018107,5.293337996800741,0.21775977611541747,0.008411018053690593
MixedShapesRegularTrain,6.910960181554159,4.806597264607747,0.22530791759490967,0.11232055028279622
MixedShapesSmallTrain,1.5751102447509766,0.849746839205424,0.029818280537923177,0.11201237042744955
OSULeaf,1.4357336600621542,1.6967706680297852,0.08201729456583659,0.017022196451822916
Plane,0.4104786952336629,0.9322297255198161,0.026459685961405435,0.004817994435628256
PowerCons,0.6922657728195191,1.5280234495798746,0.0509515921274821,0.006436443328857422
ProximalPhalanxOutlineAgeGroup,1.0042998313903808,3.7359894355138143,0.13812785148620604,0.006610298156738281
ProximalPhalanxOutlineCorrect,1.4763913790384928,5.2692842245101925,0.22583773930867512,0.009501449267069499
ProximalPhalanxTW,1.0218518336613973,3.806007750829061,0.14623974959055583,0.013542946179707844
ScreenType,3.83796382745107,3.4487245400746662,0.12624424298604328,0.015687100092569985
SemgHandGenderCh2,8.49496336778005,2.489386224746704,0.08988355795542399,0.01993579069773356
SemgHandMovementCh2,13.101129341125489,4.319959759712219,0.1620988925298055,0.022976175944010416
SemgHandSubjectCh2,12.697748605410258,4.264254077275594,0.1627520243326823,0.02317970593770345
ShapesAll,4.634782409667968,5.742766284942627,0.38651312987009684,0.046529380480448405
SmoothSubspace,0.3071028153101603,1.4178677479426065,0.06816105842590332,0.008733487129211426
SwedishLeaf,1.605724287033081,4.97094022432963,0.27836805979410806,0.04872031211853027
SyntheticControl,0.740752085049947,2.7994308630625406,0.10435033639272054,0.01660634676615397
Trace,0.6421799977620443,0.8410014470418294,0.02650728225708008,0.004705357551574707
UWaveGestureLibraryX,4.419536622365316,9.207259996732075,0.5982107321421305,0.2169170379638672
UWaveGestureLibraryY,4.541950130462647,9.224162181218466,0.5767794450124105,0.20636154015858968
UWaveGestureLibraryZ,4.422001886367798,9.115944592158,0.5191364288330078,0.17884936332702636
Worms,2.6937465270360312,1.5556930541992187,0.062375998497009276,0.004757968584696451
WormsTwoClass,2.610326608022054,1.4028743346532186,0.059322230021158856,0.002697547276814779
