dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.8573392629623413,0.5236476182937622,0.030820806821187336,0.00674740473429362
ChlorineConcentration,2.0058162291844686,2.8646593570709227,0.20083035628000895,0.16316202481587727
Computers,2.8692068099975585,1.2474077224731446,0.07780594031016032,0.009981616338094076
CricketX,2.3233173370361326,2.3611883481343585,0.1474426587422689,0.026628589630126952
CricketY,2.348630754152934,2.4689475297927856,0.14684478441874185,0.02717898686726888
CricketZ,2.3231064240137735,2.3608659823735554,0.14056603908538817,0.025053524971008302
DistalPhalanxOutlineAgeGroup,1.0270029624303183,2.5720580259958905,0.1391466776529948,0.005524945259094238
DistalPhalanxOutlineCorrect,1.5021211942036947,4.015940658251444,0.2253623644510905,0.009838016827901204
DistalPhalanxTW,1.021218434969584,2.5450727860132853,0.14490066369374593,0.008593225479125976
Earthquakes,3.3674646854400634,1.7515245834986368,0.10994695822397868,0.00598138173421224
ECG200,0.3512660264968872,0.5847660462061565,0.031218806902567547,0.004097414016723633
EOGHorizontalSignal,6.530879386266073,2.202334237098694,0.14382143020629884,0.027434770266215006
EOGVerticalSignal,6.617971634864807,2.172204613685608,0.1413227876027425,0.027244067192077635
EthanolLevel,11.202035808563233,3.2469177563985188,0.2021665652592977,0.023366888364156086
FaceAll,1.9362439870834351,4.020099830627442,0.24197391668955484,0.07674939632415771
Fish,1.2257673343022664,0.9016733010609944,0.0654987653096517,0.010595178604125977
FreezerRegularTrain,0.9746653795242309,0.76943941116333,0.03889468510945638,0.08923534552256267
GunPointAgeSpan,0.4844056049982707,0.6212963422139486,0.03549148241678874,0.01193537712097168
GunPointMaleVersusFemale,0.47636149724324545,0.6166819492975871,0.03264725208282471,0.010583170255025228
GunPointOldVersusYoung,0.4782284736633301,0.5989423990249634,0.03160635630289713,0.010274076461791992
Ham,0.8168227434158325,0.4732125679651896,0.02960179646809896,0.003907529513041178
Haptics,2.260961349805196,0.7481636762619018,0.048560468355814616,0.01635719935099284
InlineSkate,3.251440652211507,0.4987763007481893,0.03747710386912028,0.04146755536397298
InsectWingbeatSound,1.0166515111923218,1.2311758041381835,0.09326813220977784,0.12083849906921387
LargeKitchenAppliances,3.3647055864334106,2.1765687227249146,0.1446070194244385,0.018467926979064943
MedicalImages,1.0327015161514281,2.3956469535827636,0.13799017270406086,0.046612668037414554
MiddlePhalanxOutlineAgeGroup,1.0149951299031577,2.4343083540598554,0.15672361850738525,0.006527264912923177
MiddlePhalanxOutlineCorrect,1.4830602407455444,4.166750884056091,0.23988557656606038,0.011155335108439128
MixedShapesRegularTrain,6.911172580718994,3.2323413372039793,0.22927462259928386,0.11557006041208903
MixedShapesSmallTrain,1.5795577843983968,0.5182232936223348,0.033202656110127765,0.11896344820658365
OSULeaf,1.4327655871709188,1.0230010191599528,0.07999982833862304,0.017249600092569987
Plane,0.4108895460764567,0.5861195723215739,0.02890454133351644,0.005494530995686849
PowerCons,0.6855485280354817,0.8591668844223023,0.054086701075236006,0.007381216684977213
ProximalPhalanxOutlineAgeGroup,0.9962439139684042,2.552159563700358,0.1395468314488729,0.00882095495859782
ProximalPhalanxOutlineCorrect,1.4745506127675374,4.049370805422465,0.24641040166219075,0.010079073905944824
ProximalPhalanxTW,1.0019371827443442,2.520457108815511,0.1486859162648519,0.012900503476460774
ScreenType,3.8497265577316284,2.2052009185155232,0.12983977794647217,0.013356351852416992
SemgHandGenderCh2,8.502359596888224,1.528590488433838,0.0916874090830485,0.02352909247080485
SemgHandMovementCh2,13.055230005582173,2.8127312660217285,0.1676799456278483,0.02295210361480713
SemgHandSubjectCh2,12.694752566019694,2.8247574011484784,0.16741751035054525,0.023339168230692545
ShapesAll,4.6674308697382605,4.729377826054891,0.38260189692179364,0.04551550547281901
SmoothSubspace,0.29953575134277344,0.8285783767700196,0.06468672752380371,0.00888685385386149
SwedishLeaf,1.6101558446884154,3.405467979113261,0.2910482803980509,0.0486343781153361
SyntheticControl,0.7471045176188151,1.744780723253886,0.10300662517547607,0.016170342763264973
Trace,0.6348727305730184,0.4822388648986816,0.02509174346923828,0.0046549638112386065
UWaveGestureLibraryX,4.420793183644613,7.4039103825887045,0.543635884920756,0.1900781790415446
UWaveGestureLibraryY,4.556594761212667,7.350916091601054,0.5633520285288492,0.19701899687449137
UWaveGestureLibraryZ,4.412500619888306,7.415818945566813,0.5753048578898112,0.20563653310139973
Worms,2.6900418202082315,0.9118004004160564,0.07070387999216715,0.005388506253560384
WormsTwoClass,2.611591132481893,0.8521576881408691,0.06321839491526286,0.002740788459777832
