dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.8608864704767862,0.5011424382527669,0.03195192813873291,0.006629387537638347
ChlorineConcentration,2.017106048266093,2.428606613477071,0.19070658683776856,0.14769970575968425
Computers,2.860038232803345,1.0307560284932455,0.06937066713968913,0.009157284100850423
CricketX,2.3240260998408,2.019112205505371,0.15773839155832928,0.032348068555196126
CricketY,2.3490151007970175,1.9957613865534465,0.14042359193166096,0.027814245223999022
CricketZ,2.331735348701477,2.0419961055119833,0.148956561088562,0.02851995627085368
DistalPhalanxOutlineAgeGroup,1.0299151023228963,2.053202811876933,0.14254905382792155,0.005111813545227051
DistalPhalanxOutlineCorrect,1.5034522692362466,2.901710844039917,0.24453593095143636,0.011278510093688965
DistalPhalanxTW,1.0303357124328614,2.0672963221867877,0.14099288781483968,0.007974370320638021
Earthquakes,3.3661277612050373,1.4009677569071453,0.11499687830607096,0.005290508270263672
ECG200,0.34753309885660805,0.46220969359079994,0.028534865379333495,0.003930179278055826
EOGHorizontalSignal,6.523179205258687,1.8513490756352742,0.14125686486562092,0.030068588256835938
EOGVerticalSignal,6.630553181966146,1.854886269569397,0.13106036186218262,0.02775259017944336
EthanolLevel,11.205540084838868,2.6511950890223184,0.20577991803487142,0.026688742637634277
FaceAll,1.9366323153177898,2.966386159261068,0.24802713394165038,0.07721198399861653
Fish,1.2297037363052368,0.8122541745503743,0.06645220915476481,0.011478718121846516
FreezerRegularTrain,0.9715636332829793,0.5580144961675008,0.034813729921976726,0.08994155724843343
GunPointAgeSpan,0.4773221651713053,0.5387277364730835,0.03706566492716471,0.011149930953979491
GunPointMaleVersusFemale,0.47500094572703044,0.5782980442047119,0.03121952215830485,0.010220519701639811
GunPointOldVersusYoung,0.472922682762146,0.5386588414510091,0.03280320167541504,0.011597609519958496
Ham,0.8129612445831299,0.43893003463745117,0.029111973444620767,0.0037697871526082356
Haptics,2.261015017827352,0.6970800876617431,0.04468157291412354,0.016607260704040526
InlineSkate,3.2543784777323403,0.4706346750259399,0.03659292062123617,0.038592139879862465
InsectWingbeatSound,1.0059370438257853,1.0292393922805787,0.08324507077534994,0.11610165437062582
LargeKitchenAppliances,3.3681548198064166,1.8158671458562214,0.15254966417948404,0.022871859868367515
MedicalImages,1.0353760401407877,1.973491128285726,0.1389401356379191,0.0484207550684611
MiddlePhalanxOutlineAgeGroup,1.0042807737986246,2.0730557362238566,0.14036163489023845,0.007570044199625651
MiddlePhalanxOutlineCorrect,1.4900652329126993,2.9488252878189085,0.2202619473139445,0.00998549461364746
MixedShapesRegularTrain,6.910859100023905,2.6611224015553794,0.23016486167907715,0.1070341189702352
MixedShapesSmallTrain,1.5713469107945761,0.44647750854492185,0.02791938781738281,0.10873651504516602
OSULeaf,1.4300176541010539,0.8904052019119263,0.0744286060333252,0.015722012519836424
Plane,0.4122226079305013,0.5070972522099813,0.02841320832570394,0.005411966641743978
PowerCons,0.6883790095647176,0.7575657765070597,0.05089332262674968,0.006836096445719401
ProximalPhalanxOutlineAgeGroup,1.0027806282043457,2.0245495001475016,0.13202672799428303,0.006593632698059082
ProximalPhalanxOutlineCorrect,1.4747158924738566,2.9422638416290283,0.2488563060760498,0.011747988065083821
ProximalPhalanxTW,1.000940998395284,2.055454119046529,0.13988925615946451,0.012366644541422526
ScreenType,3.847513262430827,1.8586180607477825,0.12630038261413573,0.015464965502421062
SemgHandGenderCh2,8.50442198117574,1.2799490769704183,0.08576412200927734,0.01879414717356364
SemgHandMovementCh2,13.120980747540791,2.375314784049988,0.16173141797383625,0.02103161017100016
SemgHandSubjectCh2,12.699562549591064,2.2691399892171225,0.1596212863922119,0.020359182357788087
ShapesAll,4.639803735415141,3.242581613858541,0.39563212394714353,0.047143260637919106
SmoothSubspace,0.30269428888956706,0.7233673175175984,0.059618298212687174,0.007361427942911784
SwedishLeaf,1.6079917907714845,2.8277070840199787,0.28887998263041176,0.04878526528676351
SyntheticControl,0.7438944578170776,1.5101159413655598,0.10501322746276856,0.01861418088277181
Trace,0.6392411073048909,0.44957537651062013,0.02520754337310791,0.004587801297505697
UWaveGestureLibraryX,4.415442808469137,4.721737782160441,0.5880091746648153,0.2092021624247233
UWaveGestureLibraryY,4.545676318804423,4.739157104492188,0.5579976399739583,0.19606622060139975
UWaveGestureLibraryZ,4.415130488077799,4.743948419888814,0.5495081742604574,0.19381639162699382
Worms,2.687623469034831,0.8050960381825765,0.06336774031321207,0.004773712158203125
WormsTwoClass,2.6081930001576743,0.7324557065963745,0.05644819736480713,0.002840733528137207
