dataset,PPV,GMP,MPV,MIPV,LSPV,PPV_DIFF,GMP_DIFF,MPV_DIFF,MIPV_DIFF,LSPV_DIFF,PPV_MIX,GMP_MIX,MPV_MIX,MIPV_MIX,LSPV_MIX,BEST_PO_GT,BEST_OVERALL,BEST_PO_KF,PERFORMANCE,DIFF
MixedShapesRegularTrain,0.9691958,0.95182127,0.96735394,0.9616496,0.96930593,0.9762612,0.93595874,0.97403437,0.95865285,0.9745705,0.97601384,0.95802057,0.974598,0.964701,0.97598624,PPV_DIFF,0.9762612,PPV_MIX,0.97601384,0.0002473600000000298
MixedShapesSmallTrain,0.9417457,0.91043293,0.9361374,0.92573184,0.94255674,0.9485224,0.891299,0.94321644,0.9196564,0.9461581,0.9499107,0.91722333,0.944,0.9289209,0.9495533,PPV_MIX,0.9499107,PPV_DIFF,0.9485224,0.001388300000000009
OSULeaf,0.95688707,0.89476585,0.9387052,0.74118453,0.93705237,0.96487606,0.9199725,0.9466942,0.7482093,0.93911844,0.96831965,0.92865014,0.9581267,0.7677686,0.9549587,PPV_MIX,0.96831965,PPV_MIX,0.96831965,0.0
Plane,1,1,1,1,0.99968255,1,0.9987301,1,0.9993651,1,1,1,1,1,1,PPV,1,PPV,1.0,0.0
PowerCons,0.9825926,0.9564814,0.9798147,0.9831482,0.9694445,0.925,0.8733334,0.93425924,0.91555554,0.9020371,0.9809259,0.9475925,0.97314817,0.9775926,0.9646297,MIPV,0.9831482,MIPV,0.9831482,0.0
ProximalPhalanxOutlineAgeGroup,0.8458536,0.8434146,0.8491056,0.8484552,0.8437398,0.84878045,0.8360975,0.8482926,0.84894305,0.84569097,0.84813,0.83886164,0.85056895,0.8455283,0.8450406,MPV_MIX,0.85056895,MIPV_DIFF,0.84894305,0.001625899999999958
ProximalPhalanxOutlineCorrect,0.89312714,0.8865979,0.89656365,0.88946164,0.8983963,0.9109965,0.87743413,0.9054983,0.90469646,0.90400904,0.90801823,0.88831615,0.9058419,0.9045819,0.90710187,PPV_DIFF,0.9109965,PPV_DIFF,0.9109965,0.0
ProximalPhalanxTW,0.8066666,0.7944716,0.804065,0.8078049,0.7957723,0.8003253,0.7881299,0.8030894,0.8107316,0.79528445,0.800813,0.79219514,0.8,0.80569094,0.79333323,MIPV_DIFF,0.8107316,MIPV_DIFF,0.8107316,0.0
ScreenType,0.57671106,0.46319997,0.5678223,0.58791107,0.59048885,0.6361777,0.4367111,0.5904,0.59839994,0.59342223,0.6288,0.46195558,0.5939556,0.60933334,0.6249778,PPV_DIFF,0.6361777,PPV_DIFF,0.6361777,0.0
SemgHandGenderCh2,0.90927786,0.8210556,0.9112222,0.9523888,0.9355555,0.7742778,0.78416663,0.8401667,0.87183344,0.8103889,0.9017222,0.82961106,0.9036667,0.94338894,0.92966664,MIPV,0.9523888,MIPV,0.9523888,0.0
SemgHandMovementCh2,0.6768148,0.50429624,0.7054074,0.7922963,0.70399994,0.49881476,0.44681484,0.5534075,0.62918526,0.5898518,0.6463705,0.5115556,0.6920001,0.7763703,0.690889,MIPV,0.7922963,MIPV,0.7922963,0.0
SemgHandSubjectCh2,0.8777778,0.71385187,0.8711852,0.93103707,0.9034814,0.6774074,0.51577777,0.7065925,0.77962965,0.7000741,0.85725933,0.69651854,0.8659259,0.91792583,0.8914074,MIPV,0.93103707,MIPV,0.93103707,0.0
ShapesAll,0.9356111,0.8822778,0.92399997,0.8996112,0.93622226,0.9131667,0.8312223,0.8986111,0.8485555,0.9118334,0.9427222,0.8879444,0.93516666,0.89677775,0.94088894,PPV_MIX,0.9427222,LSPV_MIX,0.94088894,0.0018332599999999477
SmoothSubspace,0.9586668,0.79511106,0.94777775,0.9624445,0.91644436,0.8851111,0.58911115,0.8444444,0.90888876,0.81666666,0.97177774,0.8411111,0.9737779,0.9731111,0.94,MPV_MIX,0.9737779,MIPV_MIX,0.9731111,0.0006667999999999674
SwedishLeaf,0.9623466,0.9283733,0.96064,0.96063995,0.95712,0.9636267,0.88421327,0.95423996,0.95370674,0.95530665,0.97338676,0.94133323,0.9709333,0.9664534,0.96485335,PPV_MIX,0.97338676,PPV_MIX,0.97338676,0.0
SyntheticControl,0.9906667,0.99066657,0.9919999,0.9801112,0.9925556,0.71988887,0.6041111,0.68944436,0.76222223,0.7225555,0.99166673,0.98955554,0.99344444,0.97722226,0.9905555,MPV_MIX,0.99344444,MPV_MIX,0.99344444,0.0
Trace,1,1,1,1,1,1,0.9883333,0.99766666,0.9976666,1,1,1,1,1,1,PPV,1,PPV,1.0,0.0
UWaveGestureLibraryX,0.8573887,0.8017309,0.8499441,0.8495999,0.8508468,0.8343385,0.7337707,0.8113903,0.8107296,0.81293505,0.864666,0.8095849,0.8566444,0.85603946,0.85614175,PPV_MIX,0.864666,PPV_MIX,0.864666,0.0
UWaveGestureLibraryY,0.7875396,0.7234319,0.78302616,0.7772101,0.7809418,0.7419318,0.6003629,0.70548123,0.72926676,0.7175509,0.80030704,0.72949004,0.78930765,0.7864508,0.7919785,PPV_MIX,0.80030704,PPV_MIX,0.80030704,0.0
UWaveGestureLibraryZ,0.8012377,0.7339289,0.79488176,0.7870277,0.7956635,0.76635015,0.6363763,0.7278802,0.7476456,0.7449563,0.80918485,0.73423594,0.7983529,0.79420257,0.8024009,PPV_MIX,0.80918485,PPV_MIX,0.80918485,0.0
Worms,0.73333335,0.6701299,0.7372294,0.65627706,0.73636365,0.7077923,0.59437233,0.70952386,0.54458874,0.72207797,0.74112564,0.6727273,0.7476191,0.6277056,0.7489177,LSPV_MIX,0.7489177,PPV_MIX,0.74112564,0.0077920599999999896
WormsTwoClass,0.79523814,0.769264,0.79826844,0.72294366,0.8069265,0.7688312,0.7103895,0.7839827,0.64112556,0.77272725,0.78138524,0.76147175,0.80562776,0.70995677,0.7948053,LSPV,0.8069265,PPV_MIX,0.78138524,0.02554126000000001
