dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.855821951230367,1.079164942105611,0.0338503360748291,0.007361372311909993
ChlorineConcentration,2.007020099957784,6.058187492688497,0.20271432399749756,0.16842267513275147
Computers,2.8586143414179483,2.4993531624476115,0.08206587632497152,0.011165396372477213
CricketX,2.3258721828460693,4.927197178204854,0.1382675011952718,0.026177461942036948
CricketY,2.3637503465016683,4.9588311592737835,0.13991496562957764,0.02556167443593343
CricketZ,2.3257816791534425,5.063232533137003,0.14543964862823486,0.02611251672108968
DistalPhalanxOutlineAgeGroup,1.0222121874491374,5.061813433965047,0.13142112890879312,0.0049538691838582356
DistalPhalanxOutlineCorrect,1.5087390979131063,8.449544056256611,0.2389434814453125,0.009863074620564778
DistalPhalanxTW,1.0250199397404989,5.114913535118103,0.1474672555923462,0.008535051345825195
Earthquakes,3.3578249057133993,3.464505163828532,0.1080075184504191,0.0056124528249104815
ECG200,0.34859089851379393,1.0263052225112914,0.02959012190500895,0.004064106941223144
EOGHorizontalSignal,6.5414530515670775,4.348687314987183,0.1427272399266561,0.028464396794637043
EOGVerticalSignal,6.6307723442713415,4.472181860605875,0.13735748926798502,0.026500471433003745
EthanolLevel,11.208036017417907,7.1683112223943075,0.19834223588307698,0.023708661397298176
FaceAll,1.9328203678131104,8.614738170305888,0.2577201366424561,0.08041743437449138
Fish,1.2299355109532675,1.7948089281717936,0.059113049507141115,0.009756223360697428
FreezerRegularTrain,0.9749967018763225,1.4301462252934773,0.03820556799570719,0.0835685650507609
GunPointAgeSpan,0.4766368786493937,1.2969786723454793,0.03921054204305013,0.012776931126912435
GunPointMaleVersusFemale,0.4780306259791056,1.2322962760925293,0.034421753883361814,0.011593214670817057
GunPointOldVersusYoung,0.4746372620264689,1.367894180615743,0.03590691089630127,0.011711899439493816
Ham,0.8130600531895955,0.9923135995864868,0.032111191749572755,0.004344789187113444
Haptics,2.26702934106191,1.5863462686538696,0.04977882703145345,0.016878724098205566
InlineSkate,3.2546810547510785,1.0409303029378256,0.03921828269958496,0.04444991747538249
InsectWingbeatSound,1.0124544620513916,2.6472079277038576,0.09154362678527832,0.11784851551055908
LargeKitchenAppliances,3.377930982907613,4.4099090973536175,0.14915799299875895,0.020877790451049805
MedicalImages,1.038411831855774,4.765103197097778,0.14988324642181397,0.05156092643737793
MiddlePhalanxOutlineAgeGroup,1.0042712847391764,5.040047494570414,0.14451106389363608,0.007405296961466471
MiddlePhalanxOutlineCorrect,1.4879251400629678,8.465933569272359,0.2238948901494344,0.01065050760904948
MixedShapesRegularTrain,6.910530281066895,7.44621106783549,0.21991837819417318,0.10293219884236654
MixedShapesSmallTrain,1.5727214415868123,1.0812109311421711,0.03468995094299317,0.1135731299718221
OSULeaf,1.4323961416880289,2.126348106066386,0.08659126758575439,0.01923075517018636
Plane,0.4091847658157349,1.1272520701090494,0.029084523518880207,0.005414009094238281
PowerCons,0.6874662558237712,1.8814390420913696,0.05055951277414958,0.00651861031850179
ProximalPhalanxOutlineAgeGroup,1.012743631998698,5.10678346157074,0.14354286193847657,0.007498900095621745
ProximalPhalanxOutlineCorrect,1.4856486956278483,8.48112769126892,0.24314310550689697,0.011147363980611166
ProximalPhalanxTW,0.9960645198822021,5.212502511342366,0.14612937768300374,0.013252854347229004
ScreenType,3.865337832768758,4.342933320999146,0.12468973795572917,0.01518718401590983
SemgHandGenderCh2,8.512994980812072,3.2044485807418823,0.09509641329447428,0.02100691795349121
SemgHandMovementCh2,13.053318667411805,5.871734770139058,0.16366953055063885,0.020847376187642416
SemgHandSubjectCh2,12.692438991864522,5.842005324363709,0.17324591477711995,0.024135899543762208
ShapesAll,4.6370467901229855,9.9784765958786,0.3985560894012451,0.04735094706217448
SmoothSubspace,0.30044087568918865,1.5900293111801147,0.061359461148579916,0.008863528569539389
SwedishLeaf,1.6096299171447754,7.347749805450439,0.295550537109375,0.04909484386444092
SyntheticControl,0.7471821864446004,3.5715749263763428,0.09914688269297282,0.01670065720876058
Trace,0.6344318548838298,1.0228057225545248,0.026143447558085123,0.004622515042622884
UWaveGestureLibraryX,4.406045548121134,14.9070414463679,0.5646801153818767,0.19999094009399415
UWaveGestureLibraryY,4.546277801195781,14.85586063861847,0.613748304049174,0.22162462870279948
UWaveGestureLibraryZ,4.418605597813924,14.842185767491658,0.503349773089091,0.17179946899414061
Worms,2.703885618845622,1.9446115016937255,0.07063419818878174,0.005048863093058268
WormsTwoClass,2.6129410823186237,1.8161815643310546,0.06447252432505289,0.0027223507563273112
