dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.8600953658421835,0.27648589611053465,0.02346010208129883,0.005222431818644206
ChlorineConcentration,2.004460827509562,1.4981855869293212,0.18482065200805664,0.14792455037434896
Computers,2.8848000288009645,0.6783564329147339,0.07754701773325602,0.009598096211751303
CricketX,2.3353816986083986,1.264608875910441,0.1438792626063029,0.027095238367716473
CricketY,2.36247452100118,1.3123856067657471,0.14078990618387857,0.026050615310668945
CricketZ,2.334583059946696,1.291750399271647,0.13763031164805095,0.02439147631327311
DistalPhalanxOutlineAgeGroup,1.0306891997655232,1.239993953704834,0.13189130624135334,0.004636645317077637
DistalPhalanxOutlineCorrect,1.5076985359191895,2.0367196877797444,0.23420492808024088,0.01100142002105713
DistalPhalanxTW,1.0392020225524903,1.2993370374043782,0.13131372928619384,0.007315325736999512
Earthquakes,3.38200941880544,0.9054422934850057,0.10691095987955729,0.005884552001953125
ECG200,0.3545106331507365,0.26721142133076986,0.020063614845275878,0.0026851495107014975
EOGHorizontalSignal,6.534314751625061,1.120060658454895,0.15022217432657878,0.029524032274881998
EOGVerticalSignal,6.643404571215312,1.1486857573191325,0.1458565870920817,0.029429952303568523
EthanolLevel,11.229996355374654,1.7174460570017496,0.19950652122497559,0.024070461591084797
FaceAll,1.937393021583557,2.0215404351552326,0.2511805772781372,0.0794482946395874
Fish,1.2467544237772623,0.4262309471766154,0.056831916173299156,0.00937194029490153
FreezerRegularTrain,0.9785127162933349,0.3151366631189982,0.032132403055826826,0.08928328355153402
GunPointAgeSpan,0.48983248074849445,0.3196321646372477,0.030436976750691732,0.009861191113789877
GunPointMaleVersusFemale,0.49730548858642576,0.31777057647705076,0.029190786679585776,0.009789125124613444
GunPointOldVersusYoung,0.4911351203918457,0.3203838427861532,0.028744904200236003,0.010520426432291667
Ham,0.8342230081558227,0.2628643989562988,0.023057333628336587,0.002907355626424154
Haptics,2.2856556018193563,0.37335911591847737,0.039457480112711586,0.014639751116434733
InlineSkate,3.2709599415461224,0.2659198125203451,0.027880064646402993,0.03476481437683106
InsectWingbeatSound,1.0140949169794717,0.6502984126408895,0.08410507837931315,0.11695528030395508
LargeKitchenAppliances,3.3801115274429323,1.2115985711415609,0.1482635259628296,0.018626896540323894
MedicalImages,1.039146105448405,1.2175587177276612,0.14415464401245118,0.04949446519215902
MiddlePhalanxOutlineAgeGroup,1.0125097354253134,1.2480369329452514,0.1446252981821696,0.007217566172281901
MiddlePhalanxOutlineCorrect,1.4953544775644938,1.90665442943573,0.21896421909332275,0.010356259346008301
MixedShapesRegularTrain,6.915261626243591,1.5959205309549966,0.21967982451121013,0.10395861466725667
MixedShapesSmallTrain,1.5750964721043905,0.2657569567362467,0.024464893341064452,0.10656435489654541
OSULeaf,1.4519663413365682,0.5907747824986775,0.07985779444376627,0.0166852871576945
Plane,0.4238959789276123,0.2968751589457194,0.024748841921488445,0.0046263853708903
PowerCons,0.7081193049748739,0.4037825425465902,0.04741822878519694,0.006252161661783854
ProximalPhalanxOutlineAgeGroup,1.0086089054743448,1.1845934708913168,0.13802253405253093,0.007037464777628581
ProximalPhalanxOutlineCorrect,1.482642380396525,1.9704981088638305,0.21984904607137043,0.010865537325541179
ProximalPhalanxTW,1.012713114420573,1.3509509960810344,0.1388809124628703,0.010746526718139648
ScreenType,3.8789589007695517,1.1128547430038451,0.1284718672434489,0.01671015421549479
SemgHandGenderCh2,8.518275515238445,0.8382230520248413,0.08314313093821207,0.020795933405558267
SemgHandMovementCh2,13.09597688515981,1.4512899319330852,0.16836602687835694,0.022838536898295084
SemgHandSubjectCh2,12.714091396331787,1.384814715385437,0.1684878349304199,0.023593950271606445
ShapesAll,4.644848036766052,2.2560129324595133,0.3950950702031453,0.046665620803833005
SmoothSubspace,0.3045140027999878,0.4434051434199015,0.05844139258066813,0.00816951592763265
SwedishLeaf,1.612046519915263,1.7624473174413045,0.30744328498840334,0.049435146649678546
SyntheticControl,0.7628093242645264,0.9380214214324951,0.09909062385559082,0.016620167096455894
Trace,0.6691950559616089,0.2546522855758667,0.0189343531926473,0.0035255829493204753
UWaveGestureLibraryX,4.412599595387777,3.637150740623474,0.524753189086914,0.17807679176330565
UWaveGestureLibraryY,4.547480614980062,3.6491266886393228,0.5562606414159139,0.1920340935389201
UWaveGestureLibraryZ,4.409921320279439,3.678978856404622,0.5660706758499146,0.20010775725046795
Worms,2.7126392364501952,0.4530725320180257,0.06359322071075439,0.004951365788777669
WormsTwoClass,2.6317254940668744,0.39768727620442706,0.04950932661692301,0.002308360735575358
